timestamp,datetime,alert_key,severity,message,speed_kmh,road_ratio
1779688807.0140955,2026-05-25T11:30:07.014095,speeding_warning,WARNING,WARNING: Speed 64.0 km/h — above limit,63.99,0.95
1779688807.2033696,2026-05-25T11:30:07.203369,speeding_critical,CRITICAL,CRITICAL: Speed 106.9 km/h — far above limit,106.93,0.95
1779688807.5101922,2026-05-25T11:30:07.510192,lane_departure,WARNING,WARNING: Lane departure detected,1006.09,0.239
1779688811.2204835,2026-05-25T11:30:11.220483,speeding_critical,CRITICAL,CRITICAL: Speed 83.7 km/h — far above limit,83.74,0.933
1779688816.1920938,2026-05-25T11:30:16.192093,speeding_warning,WARNING,WARNING: Speed 72.1 km/h — above limit,72.1,0.95
1779688816.254068,2026-05-25T11:30:16.254067,speeding_critical,CRITICAL,CRITICAL: Speed 116.6 km/h — far above limit,116.62,0.95
1779688819.3190067,2026-05-25T11:30:19.319006,speeding_critical,CRITICAL,CRITICAL: Speed 1105.8 km/h — far above limit,1105.85,0.95
1779688822.323372,2026-05-25T11:30:22.323371,speeding_critical,CRITICAL,CRITICAL: Speed 112.5 km/h — far above limit,112.5,0.95
1779688823.1951156,2026-05-25T11:30:23.195115,lane_departure,WARNING,WARNING: Lane departure detected,257.17,0.477
1779688825.3750546,2026-05-25T11:30:25.375054,speeding_critical,CRITICAL,CRITICAL: Speed 805.0 km/h — far above limit,804.99,0.763
1779688826.246748,2026-05-25T11:30:26.246747,lane_departure,WARNING,WARNING: Lane departure detected,1078.59,0.413
1779688826.5659785,2026-05-25T11:30:26.565978,low_road_coverage,INFO,INFO: Low road visibility (10% road detected),824.4,0.097
1779688828.4161296,2026-05-25T11:30:28.416129,speeding_critical,CRITICAL,CRITICAL: Speed 281.7 km/h — far above limit,281.68,0.848
1779688829.4309046,2026-05-25T11:30:29.430904,lane_departure,WARNING,WARNING: Lane departure detected,235.01,0.569
1779688831.1267738,2026-05-25T11:30:31.126773,speeding_warning,WARNING,WARNING: Speed 67.7 km/h — above limit,67.65,0.729
1779688831.4767141,2026-05-25T11:30:31.476714,speeding_critical,CRITICAL,CRITICAL: Speed 134.8 km/h — far above limit,134.82,0.94
1779688833.195357,2026-05-25T11:30:33.195357,lane_departure,WARNING,WARNING: Lane departure detected,240.9,0.427
1779688834.5267913,2026-05-25T11:30:34.526791,speeding_critical,CRITICAL,CRITICAL: Speed 494.4 km/h — far above limit,494.45,0.889
1779688835.8595505,2026-05-25T11:30:35.859550,speeding_warning,WARNING,WARNING: Speed 73.0 km/h — above limit,73.0,0.688
1779688836.1985958,2026-05-25T11:30:36.198595,lane_departure,WARNING,WARNING: Lane departure detected,52.97,0.132
1779688839.2306714,2026-05-25T11:30:39.230671,lane_departure,WARNING,WARNING: Lane departure detected,25.41,0.217
1779688842.2974496,2026-05-25T11:30:42.297449,lane_departure,WARNING,WARNING: Lane departure detected,8.95,0.432
1779688845.313659,2026-05-25T11:30:45.313659,lane_departure,WARNING,WARNING: Lane departure detected,26.01,0.152
1779688848.3207066,2026-05-25T11:30:48.320706,lane_departure,WARNING,WARNING: Lane departure detected,45.87,0.238
1779688848.6074038,2026-05-25T11:30:48.607403,speeding_warning,WARNING,WARNING: Speed 61.7 km/h — above limit,61.71,0.164
1779688848.692215,2026-05-25T11:30:48.692215,speeding_critical,CRITICAL,CRITICAL: Speed 101.1 km/h — far above limit,101.09,0.246
1779688849.3752348,2026-05-25T11:30:49.375234,low_road_coverage,INFO,INFO: Low road visibility (10% road detected),292.56,0.098
1779688851.8055353,2026-05-25T11:30:51.805535,speeding_critical,CRITICAL,CRITICAL: Speed 124.5 km/h — far above limit,124.45,0.95
1779688852.2102947,2026-05-25T11:30:52.210294,lane_departure,WARNING,WARNING: Lane departure detected,1274.89,0.497
1779688854.471884,2026-05-25T11:30:54.471884,speeding_warning,WARNING,WARNING: Speed 76.2 km/h — above limit,76.25,0.505
1779688855.5149043,2026-05-25T11:30:55.514904,lane_departure,WARNING,WARNING: Lane departure detected,34.59,0.53
1779688866.319226,2026-05-25T11:31:06.319226,lane_departure,WARNING,WARNING: Lane departure detected,18.48,0.483
1779688868.078632,2026-05-25T11:31:08.078632,speeding_warning,WARNING,WARNING: Speed 69.8 km/h — above limit,69.77,0.472
1779688868.15791,2026-05-25T11:31:08.157910,speeding_critical,CRITICAL,CRITICAL: Speed 85.4 km/h — far above limit,85.36,0.451
